,cocktail_name,alcoholic,image_url,glass_type,recipe,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15
170,Brandy Sour,True,http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,Whiskey sour glass,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve.",Brandy,Lemon,Powdered sugar,Lemon,Cherry,,,,,,,,,,,2 oz ,Juice of 1/2 ,1/2 tsp ,1/2 slice ,1 , , , , , ,,,,,
171,Brave Bull Shooter,True,http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,Shot glass,Pour Tabasco into bottom of shot glass and fill with tequila.,Tequila,Tabasco sauce,,,,,,,,,,,,,,1/2 oz ,1/2 oz , , , , , ,,,,,,,,
172,Bruce's Puce,True,http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,Shot glass,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)",Grenadine,Kahlua,Bailey's irish cream,,,,,,,,,,,,,"
","
","
","
","
","
","
",,,,,,,,
173,Bruised Heart,True,http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,Shot glass,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass",Vodka,Chambord raspberry liqueur,Peachtree schnapps,Cranberry juice,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz , , , , , ,,,,,,
174,Bubble Gum,True,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Shot glass,Layer in order into a shot glass.,Vodka,Banana liqueur,Orange juice,Peach schnapps,,,,,,,,,,,,1/4 ,1/4 ,1/4 ,1/4 , , , , , ,,,,,,
175,Buccaneer,True,http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,Corona,Bacardi Limon,,,,,,,,,,,,,,1 ,1 shot , , , , , ,,,,,,,,
176,Bumble Bee #1,True,http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,Shot glass,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",Bailey's irish cream,Kahlua,Sambuca,,,,,,,,,,,,,1/3 oz ,1/3 oz ,1/3 oz , , , , , ,,,,,,,
177,Butter Baby,True,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,Beer mug,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.,Vanilla Ice-Cream,Butterscotch schnapps,Milk,Vodka,,,,,,,,,,,,2 scoops ,1 part ,full glass ,2 parts ,"
","
","
",,,,,,,,
178,Cafe Savoy,True,http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",Coffee,Milk,Triple sec,Brandy,,,,,,,,,,,,"
",1/2 oz ,1/2 oz , , , , , ,,,,,,,
179,Caipirinha,True,http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,Sugar,Lime,Cachaca,,,,,,,,,,,,,2 tsp,1 ,2 1/2 oz , , , , , ,,,,,,,
180,Caipirissima,True,http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,Lime,Sugar,White rum,Ice,,,,,,,,,,,,2 ,2 tblsp ,2-3 oz ,crushed , , , , , ,,,,,,
181,California Lemonade,True,http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,Collins glass,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.,Blended whiskey,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,,,,,,,,2 oz ,Juice of 1 ,Juice of 1 ,1 tblsp ,1/4 tsp ,"
","
","
","
","
","
",,,,
182,California Root Beer,True,http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,Highball glass,Put Kahlua and Galliano in highball glass fill with soda,Kahlua,Galliano,Soda water,,,,,,,,,,,,,3/4 oz ,3/4 oz ,Fill with , , , , , ,,,,,,,
183,Campari Beer,True,http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Beer mug,Use a 15 oz glass. Add Campari first. Fill with beer.,Lager,Campari,,,,,,,,,,,,,,1 bottle ,1 1/2 cl , , , , , ,,,,,,,,
184,Caribbean Boilermaker,True,http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,Beer pilsner,Pour the Corona into an 18oz beer glass pour the rum into the beer.,Corona,Light rum,,,,,,,,,,,,,,1 bottle ,1 shot , , , , , ,,,,,,,,
185,Caribbean Orange Liqueur,True,http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,Collins Glass,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age.",Orange,Vodka,Sugar,,,,,,,,,,,,,3 large ,3 cups ,1 1/3 cup superfine , , , , , ,,,,,,,
186,Casino,True,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,,,,,,,2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1 , , , , , ,,,,,
187,Casino Royale,True,http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,,,,,,,2 oz ,1/2 oz ,1 tsp ,1 dash ,1 , , , , , ,,,,,
188,Castillian Hot Chocolate,False,http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Coffee mug,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six.",Cocoa powder,Sugar,Cornstarch,Water,Milk,,,,,,,,,,,1/2 cup ,1 cup ,7 tsp ,1/2 cup ,1 qt , , , , , ,,,,,
