,cocktail_name,alcoholic,image_url,glass_type,recipe,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15
266,Gin Rickey,True,http://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,Highball glass,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,Gin,Grenadine,lemon,Soda Water,Lime,,,,,,,,,,,2 oz ,1 tsp ,Juice of 1/2 ,Top up with,Garnish,"
","
",,,,,,,,
267,Gin Sling,True,http://www.thecocktaildb.com/images/media/drink/h8wmm41504883440.jpg,Old-fashioned glass,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,Gin,Lemon,Powdered sugar,Water,Orange peel,,,,,,,,,,,2 oz ,Juice of 1/2 ,1 tsp ,1 tsp ,Twist of , , , , , ,,,,,
268,Gin Smash,True,http://www.thecocktaildb.com/images/media/drink/hp41fi1504883656.jpg,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",Gin,Carbonated water,Sugar,Mint,Orange,Cherry,,,,,,,,,,2 oz ,1 oz ,1 cube ,4 ,1 slice ,1 , , , , , ,,,,
269,Gin Sour,True,http://www.thecocktaildb.com/images/media/drink/mt7l7m1504883523.jpg,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Gin,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,,,,,,,2 oz ,1 oz ,1/2 tsp superfine ,1 ,1 , , , , , ,,,,,
270,Gin Squirt,True,http://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,Highball glass,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",Gin,Grenadine,Powdered sugar,Pineapple,Strawberries,Carbonated water,,,,,,,,,,1 1/2 oz ,1 tsp ,1 tblsp ,3 chunks ,2 ,"
","
","
","
","
","
",,,,
271,Gin Swizzle,True,http://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,Highball glass,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",Lime juice,Sugar,Gin,Bitters,Club soda,,,,,,,,,,,1 1/2 oz ,1 tsp superfine ,2 oz ,1 dash ,3 oz , , , , , ,,,,,
272,Gin Toddy,True,http://www.thecocktaildb.com/images/media/drink/l9gi5h1504820724.jpg,Old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",Gin,Water,Powdered sugar,Lemon peel,,,,,,,,,,,,2 oz ,2 tsp ,1/2 tsp ,1 twist of , , , , , ,,,,,,
273,Girl From Ipanema,True,http://www.thecocktaildb.com/images/media/drink/xypspq1469090633.jpg,Wine Glass,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne",Cachaca,Lemon Juice,Agave Syrup,Champagne,,,,,,,,,,,,25 ml,15 ml,10 ml,top up with,,,,,,,,,,,
274,Gluehwein,False,http://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,Irish coffee cup,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",Red wine,Water,Sugar,Cinnamon,Cloves,Lemon peel,,,,,,,,,,1 L ,125 ml ,60 gr ,1 ,3 ,1 tblsp , , , , , ,,,,
275,Godchild,True,http://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,Champagne flute,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",Vodka,Amaretto,Heavy cream,,,,,,,,,,,,,1 oz ,1 oz ,1 oz , , , , , ,,,,,,,
276,Godfather,True,http://www.thecocktaildb.com/images/media/drink/r74uz51504368928.jpg,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,Scotch,Amaretto,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz , , , , , ,,,,,,,,
277,Godmother,True,http://www.thecocktaildb.com/images/media/drink/4889up1504368984.jpg,Old-fashioned glass,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,Vodka,Amaretto,,,,,,,,,,,,,,1 1/2 oz ,3/4 oz , , , , , ,,,,,,,,
278,Golden dream,True,http://www.thecocktaildb.com/images/media/drink/qrot6j1504369425.jpg,Cocktail glass,Shake with cracked ice. Strain into glass and serve.,Galliano,Triple Sec,orange juice,Cream,,,,,,,,,,,,2 parts,2 parts,2 parts,1 part, , , , , ,,,,,,
279,Grand Blue,True,http://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,Old-fashioned glass,Serve in an old fashioned glass.,Malibu rum,Peach schnapps,Blue Curacao,Sweet and sour,,,,,,,,,,,,1 1/2 cl ,1 1/2 cl ,1 1/2 cl ,3 cl , , , , , ,,,,,,
280,Grape lemon pineapple Smoothie,False,http://www.thecocktaildb.com/images/media/drink/54z5h71487603583.jpg,Highball glass,Throw everything into a blender and liquify.,Grapes,Lemon,Pineapple,,,,,,,,,,,,,1 cup ,1/4 ,1/2 , , , , , ,,,,,,,
281,Grass Skirt,True,http://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",Gin,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,1/2 tsp ,1 , , , , , ,,,,,
282,Grasshopper,True,http://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,Cocktail glass,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,Green Creme de Menthe,Creme de Cacao,Light cream,,,,,,,,,,,,,3/4 oz ,3/4 oz white ,3/4 oz , , , , , ,,,,,,,
283,Green Goblin,True,http://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,Pint glass,"Cider First, Lager then Curacao",Cider,Lager,Blue Curacao,,,,,,,,,,,,,1/2 pint hard ,1/2 pint ,1 shot , , , , , ,,,,,,,
284,Grim Reaper,True,http://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,Old-fashioned glass,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,Kahlua,151 proof rum,Grenadine,,,,,,,,,,,,,1 oz ,1 oz Bacardi ,1 dash , , , , , ,,,,,,,
285,Grizzly Bear,True,http://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,Collins Glass,"Served over ice. Sounds nasty, but tastes great.",Amaretto,Jägermeister,Kahlua,Milk,,,,,,,,,,,,1 part ,1 part ,1 part ,2 1/2 parts , , , , , ,,,,,,
286,H.D.,True,http://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,Beer mug,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,Whisky,Bailey's irish cream,Coffee,,,,,,,,,,,,,4 cl ,8 cl ,"
","
","
","
","
","
",,,,,,,
287,Happy Skipper,True,http://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,Highball glass,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",Spiced rum,Ginger ale,Lime,Ice,,,,,,,,,,,,1 1/2 cl ,"
","
","
","
","
","
","
",,,,,,,
288,Harvey Wallbanger,True,http://www.thecocktaildb.com/images/media/drink/vg4bva1504369725.jpg,Collins glass,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",Vodka,Galliano,Orange juice,,,,,,,,,,,,,1 oz ,1/2 oz ,4 oz , , , , , ,,,,,,,
289,Havana Cocktail,True,http://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Light rum,Pineapple juice,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 tsp , , , , , ,,,,,,,
290,Hawaiian Cocktail,True,http://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Gin,Triple sec,Pineapple juice,,,,,,,,,,,,,2 oz ,1/2 oz ,1 tblsp , , , , , ,,,,,,,
291,Hemingway Special,True,http://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Cocktail glass,Pour all ingredients into a shaker with ice. Shake.,Rum,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,,,,,,,12 parts,8 parts,3 parts,3 parts, , , , , ,,,,,,
292,Herbal flame,True,http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,Mason jar,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",Hot Damn,Tea,,,,,,,,,,,,,,5 shots ,very sweet , , , , , ,,,,,,,,
293,Highland Fling Cocktail,True,http://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Cocktail glass,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,Scotch,Sweet Vermouth,Orange bitters,Olive,,,,,,,,,,,,1 1/2 oz ,3/4 oz ,2 dashes ,1 , , , , , ,,,,,,
294,Holloween Punch,False,http://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,Punch bowl,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.",Grape juice,Carbonated soft drink,Sherbet,Sherbet,,,,,,,,,,,,"
",", orange
", , , , , ,,,,,,,,
295,Homemade Kahlua,True,http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Collins Glass,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",Sugar,Corn syrup,Coffee,Vanilla extract,Water,Vodka,,,,,,,,,,2 1/2 cups ,1 cup ,1 1/2 oz instant ,2 oz ,3 cups boiling ,1 fifth , , , , , ,,,,
296,Horse's Neck,True,http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Highball glass,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",Lemon peel,Brandy,Ginger ale,Bitters,,,,,,,,,,,,1 long strip ,2 oz ,5 oz ,2 dashes , , , , , ,,,,,,
297,Hot Chocolate to Die for,False,http://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Coffee mug,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",Chocolate,Butter,Vanilla extract,Half-and-half,Marshmallows,,,,,,,,,,,12 oz fine ,1 tsp ,1/2 tsp ,1 cup ,mini , , , , , ,,,,,
298,Hot Creamy Bush,True,http://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,Irish coffee cup,Combine all ingredients in glass,Irish whiskey,Bailey's irish cream,Coffee,,,,,,,,,,,,,1 shot ,3/4 shot ,6 oz hot , , , , , ,,,,,,,
299,Ice Pick #1,True,http://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Collins Glass,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,Vodka,Iced tea,Lemon juice,,,,,,,,,,,,,1 1/2 oz ,6 oz ," to taste
","
","
","
","
","
",,,,,,,
300,Iced Coffee,False,http://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Coffee mug,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,Coffee,Sugar,Water,Milk,,,,,,,,,,,,1/4 cup instant ,1/4 cup ,1/4 cup hot ,4 cups cold , , , , , ,,,,,,
301,Iced Coffee Fillip,True,http://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Coffee mug,Mix together in a coffee mug and chill before serving.,Kahlua,Coffee,,,,,,,,,,,,,,2 tsp ,Strong cold , , , , , ,,,,,,,,
302,Imperial Cocktail,True,http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Cocktail glass,Shake with ice and strain into cocktail glass.,Lime juice,Gin,Aperol,,,,,,,,,,,,,4 cl ,2 cl ,4 cl , , , , , ,,,,,,,
303,Imperial Fizz,True,http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Light rum,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,,,,,,,,1/2 oz ,1 1/2 oz ,Juice of 1/2 ,1 tsp ,"
","
","
","
","
","
",,,,,
304,Ipamena,False,http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Wine Glass,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",Lime,Brown sugar,Passion fruit juice,Ginger ale,Ice,,,,,,,,,,,½,2 tsp,4 cl,top up with,fill,,,,,,,,,,
305,Irish Coffee,True,http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Irish coffee cup,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",Irish whiskey,Coffee,Sugar,Whipped cream,,,,,,,,,,,,1 1/2 oz ,8 oz ,1 tsp ,1 tblsp , , , , , ,,,,,,
306,Irish Cream,True,http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Irish coffee cup,Mix scotch and milk. Add half-and-half. Add rest.,Scotch,Half-and-half,Condensed milk,Coconut syrup,Chocolate syrup,,,,,,,,,,,1 cup ,1 1/4 cup ,1 can sweetened ,3 drops ,1 tblsp , , , , , ,,,,,
307,Irish Curdling Cow,True,http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Highball glass,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",Bailey's irish cream,Bourbon,Vodka,Orange juice,,,,,,,,,,,,3/4 oz ,3/4 oz ,3/4 oz ,2-3 oz , , , , , ,,,,,,
308,Irish Russian,True,http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Highball glass,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,Vodka,Kahlua,Coca-Cola,Guinness stout,,,,,,,,,,,,1 shot ,1 shot ,1 dash ,Fill with , , , , , ,,,,,,
309,Irish Spring,True,http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Collins glass,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",Irish whiskey,Peach brandy,Orange juice,Sweet and sour,Orange,Cherry,,,,,,,,,,1 oz ,1/2 oz ,1 oz ,1 oz ,1 slice ,1 , , , , , ,,,,
310,Jack Rose Cocktail,True,http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Apple brandy,Grenadine,Lime,,,,,,,,,,,,,1 1/2 oz ,1 tsp ,Juice of 1/2 , , , , , ,,,,,,,
311,Jack's Vanilla Coke,True,http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Old-fashioned glass,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",Ice,Tennessee whiskey,Vanilla extract,Coca-Cola,,,,,,,,,,,,4-5 ,2 oz ,1 tsp ,10-12 oz , , , , , ,,,,,,
312,Jackhammer,True,http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Collins Glass,"Serve over ice- Warning,Deadly!",Jack Daniels,Amaretto,,,,,,,,,,,,,,1 oz ,1 oz , , , , , ,,,,,,,,
313,Jam Donut,True,http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Shot glass,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",Baileys irish cream,Chambord raspberry liqueur,Sugar syrup,Sugar,,,,,,,,,,,,2/3 oz,1/3 oz,1 tsp,2 pinches,,,,,,,,,,,
314,Jamaica Kiss,True,http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Hurricane glass,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,Coffee liqueur,Light rum,Ice,Milk,,,,,,,,,,,,1 shot ,1 shot Jamaican ," cubes
","
","
","
","
","
","
",,,,,,
315,Jamaican Coffee,True,http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Champagne flute,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",Rum,Coffee,Water,Whipped cream,,,,,,,,,,,,1/6 glass ,1/6 glass strong black ,1/2 glass cold ,"
","
","
","
","
","
",,,,,,
316,Japanese Fizz,True,http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Blended whiskey,Lemon,Powdered sugar,Port,Egg white,Carbonated water,,,,,,,,,,1 1/2 oz ,Juice of 1/2 ,1 tsp ,1 tblsp ,1 ,"
","
","
","
","
","
",,,,
317,Jello shots,True,http://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,Shot glass,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",Vodka,Jello,Water,,,,,,,,,,,,,2 cups ,3 packages ,3 cups , , , , , ,,,,,,,
318,Jelly Bean,True,http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Cordial glass,mix equal parts in pony glass-tastes just like a jelly bean!,Blackberry brandy,Anis,,,,,,,,,,,,,,1 oz ,1 oz , , , , , ,,,,,,,,
319,Jewel Of The Nile,True,http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Gin,Green Chartreuse,Yellow Chartreuse,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz , , , , , ,,,,,,,
320,Jitterbug,True,http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Cocktail Glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",Gin,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,,,,,,,2 jiggers ,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with , , , , , ,,,
321,John Collins,True,http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Collins glass,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,Bourbon,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,,,,,,,2 oz ,1 oz ,1 tsp superfine ,3 oz ,1 ,1 , , , , , ,,,,
322,Just a Moonmint,False,http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Milk,Chocolate syrup,Mint syrup,,,,,,,,,,,,,2 cups ,"
","
","
","
","
","
","
",,,,,,,
323,Kamikaze,True,http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,Cocktail glass,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",Vodka,Triple sec,Lime juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz , , , , , ,,,,,,,
324,Karsk,True,http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Highball glass,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",Coffee,Grain alcohol,,,,,,,,,,,,,,1 part ,2 parts , , , , , ,,,,,,,,
325,Kentucky B And B,True,http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Brandy snifter,Pour the bourbon and Benedictine into a brandy snifter.,Bourbon,Benedictine,,,,,,,,,,,,,,2 oz ,1/2 oz , , , , , ,,,,,,,,
326,Kentucky Colonel,True,http://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Cocktail glass,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,Bourbon,Benedictine,Lemon peel,,,,,,,,,,,,,3 oz ,1/2 oz ,1 twist of , , , , , ,,,,,,,
327,Kill the cold Smoothie,False,http://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Highball glass,Juice ginger and lemon and add it to hot water. You may add cardomom.,Ginger,Lemon,Water,,,,,,,,,,,,,1 inch ,1/4 ,1 cup hot , , , , , ,,,,,,,
328,Kioki Coffee,True,http://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,Coffee mug,Stir. Add whipped cream to the top.,Kahlua,Brandy,Coffee,,,,,,,,,,,,,1 oz ,1/2 oz ,"
","
","
","
","
","
",,,,,,,
329,Kir,True,http://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,Wine Glass,"Add the crème de cassis to the bottom of the glass, then top up with wine.",Creme de Cassis,Champagne,,,,,,,,,,,,,,1 part ,5 parts , , , , , ,,,,,,,,
330,Kir Royale,True,http://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,Champagne Flute,"Pour Creme de cassis in glass, gently pour champagne on top",Creme de Cassis,Champagne,,,,,,,,,,,,,,1 part ,5 parts , , , , , ,,,,,,,,
331,Kiss me Quick,True,http://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,Highball glass,mix in the glass,Cranberry vodka,Apfelkorn,Schweppes Russchian,Apple juice,Ice,,,,,,,,,,,4 cl ,2 cl ,7 cl ,8 cl ," cubes
","
","
","
","
","
",,,,,
332,Kiwi Lemon,True,http://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,Highball glass,Mix in highball glass. Stirr. Garnish with slice of kiwi.,Kiwi liqueur,Bitter lemon,Ice,,,,,,,,,,,,,1 part ,2 parts ," cubes
","
","
","
","
","
",,,,,,,
333,Kiwi Papaya Smoothie,False,http://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Highball Glass,Throw everything into a blender and liquify.,Kiwi,Papaya,,,,,,,,,,,,,,3 ,1/2 , , , , , ,,,,,,,,
334,Kool First Aid,True,http://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,Shot glass,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",151 proof rum,Kool-Aid,,,,,,,,,,,,,,2 oz light ,1/2 tsp Tropical , , , , , ,,,,,,,,
335,Kool-Aid Shot,True,http://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,Old-fashioned glass,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,Vodka,Amaretto,Sloe gin,Triple sec,Cranberry juice,,,,,,,,,,,1 shot ,1 shot ,1 shot ,1 shot ,"
","
","
","
","
","
",,,,,
336,Kool-Aid Slammer,True,http://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Shot glass,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",Kool-Aid,Vodka,,,,,,,,,,,,,,1/2 oz Grape ,1/2 oz , , , , , ,,,,,,,,
337,Kurant Tea,True,http://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,Champagne flute,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",Absolut Kurant,Tea,Sugar,,,,,,,,,,,,,4 cl ,Turkish apple ," (if needed)
","
","
","
","
","
",,,,,,,
338,Lady Love Fizz,True,http://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg,Cocktail glass,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",Gin,Light cream,Powdered sugar,Lemon,Egg white,Carbonated water,,,,,,,,,,2 oz ,2 tsp ,1 tsp ,Juice of 1/2 ,1 ,"
","
","
","
","
","
",,,,
339,Lassi - A South Indian Drink,False,http://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,Highball Glass,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",Yoghurt,Water,Cumin seed,Salt,Mint,,,,,,,,,,,1/2 cup plain ,1 1/4 cup cold ,1/2 tsp ground roasted ,1/4 tsp ,1/4 tsp dried , , , , , ,,,,,
340,Lassi - Mango,False,http://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,Highball glass,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,Mango,Yoghurt,Sugar,Water,,,,,,,,,,,,2 ,2 cups ,1/2 cup ,1 cup iced , , , , , ,,,,,,
341,Lassi - Sweet,False,http://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg,Highball glass,Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,Yoghurt,Water,Sugar,Salt,Lemon juice,,,,,,,,,,,1 cup ,2 cups cold ,4 tblsp ,pinch ,2 tblsp , , , , , ,,,,,
342,Lassi Khara,False,http://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg,Highball Glass,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,Yoghurt,Water,Salt,Asafoetida,,,,,,,,,,,,1 cup ,2 cups cold ,1 tsp ,1 pinch , , , , , ,,,,,,
343,Lassi Raita,False,http://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,Highball Glass,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.",Yoghurt,Ice,Sugar,Lime,Salt,,,,,,,,,,,2 cups ,4-6 ,"
","
","
","
","
","
","
",,,,,,
